PLAYER_MATCH,TIME,METHOD,PLACE,PLAY,PLAYER_MATCH_GOAL
507080,67,R,G,C,11208
507098,63,R,G,C,11209
507098,71,R,P,O,11210
507076,28,R,P,O,11211
507110,42,R,O,C,11212
507114,72,L,O,I,11213
507115,76,R,P,O,11214
507145,42,R,O,O,11215
507145,8,H,P,O,11216
507163,52,R,G,O,11217
507175,82,R,G,O,11218
507179,2,R,P,T,11219
507191,3,L,P,O,11220
507192,11,H,P,I,11221
507220,16,R,P,O,11222
507290,45,R,P,P,11223
507322,38,H,P,I,11224
507320,43,L,O,O,11225
507336,66,L,G,O,11226
507337,53,L,P,O,11227
507339,41,R,P,O,11228
507354,20,R,P,O,11229
507364,41,R,P,O,11230
507411,36,R,P,O,11231
507416,44,R,P,O,11232
507427,77,R,P,O,11233
507432,80,R,P,O,11234
507467,58,R,G,C,11235
507514,10,H,G,C,11236
507498,51,R,G,C,11237
507513,63,H,G,C,11238
507523,23,L,P,O,11239
507527,86,R,P,O,11240
507528,39,R,P,O,11241
507544,28,L,P,O,11242
507545,49,H,P,O,11243
507546,80,L,G,O,11244
507521,52,H,P,I,11245
507575,57,L,P,O,11246
507591,83,H,G,O,11247
507608,31,R,P,O,11248
507606,20,R,O,O,11249
507599,89,L,O,O,11250
507594,72,R,P,O,11251
507594,33,R,P,O,11252
507595,4,R,P,O,11253
507624,66,L,P,O,11254
507625,53,R,P,O,11255
507625,81,R,P,O,11256
507674,21,H,G,C,11257
507651,70,R,P,P,11258
507672,63,L,G,O,11259
507673,88,H,G,O,11260
507689,63,R,P,O,11261
507721,71,H,G,T,11262
507722,60,R,P,O,11263
507738,54,R,P,P,11264
507753,35,L,P,O,11265
507753,13,L,P,O,11266
507755,46,R,P,O,11267
507751,57,R,P,O,11268
507744,88,R,P,O,11269
507812,17,R,P,O,11270
507817,24,R,P,P,11271
507832,55,R,G,O,11272
507811,90,R,O,I,11273
507849,17,R,G,O,11274
507866,68,R,P,O,11275
507891,67,R,O,D,11276
507871,89,H,P,C,11277
507879,45,R,P,O,11278
507943,7,L,P,O,11279
507956,89,R,P,O,11280
507960,43,R,P,O,11281
507961,84,R,O,O,11282
507936,33,H,G,I,11283
507974,37,L,P,O,11284
507975,81,L,P,O,11285
507991,63,L,P,O,11286
507993,74,R,O,O,11287
508007,79,R,O,O,11288
508007,33,L,P,O,11289
508027,4,R,P,P,11290
508008,11,L,P,P,11291
508010,38,R,P,P,11292
508036,15,R,G,O,11293
508040,45,R,P,O,11294
508041,80,R,P,O,11295
508073,78,R,P,O,11296
508135,24,R,O,O,11297
508139,9,R,O,D,11298
508182,47,L,P,O,11299
508195,86,R,G,O,11300
508202,72,H,P,O,11301
508202,61,R,P,C,11302
508201,76,R,P,O,11303
508252,13,L,G,O,11304
508268,2,R,G,O,11305
508281,26,R,P,P,11306
508284,71,R,P,O,11307
508294,90,R,P,P,11308
508299,3,H,G,O,11309
508299,51,H,G,T,11310
508331,36,H,G,O,11311
508363,51,H,P,O,11312
508363,32,L,P,O,11313
508377,89,R,G,O,11314
508380,90,R,P,O,11315
508413,28,R,G,O,11316
508424,26,R,O,I,11317
508459,90,R,P,O,11318
508471,52,R,O,O,11319
508474,39,L,P,O,11320
508476,70,L,G,O,11321
508510,65,R,O,O,11322
508488,44,L,O,O,11323
508493,53,R,P,O,11324
508507,88,R,P,O,11325
508516,3,L,G,I,11326
508518,45,L,O,O,11327
508534,26,L,P,O,11328
508537,66,L,P,O,11329
508557,64,R,P,I,11330
508583,16,L,P,O,11331
508598,31,R,P,O,11332
508601,77,H,P,O,11333
508580,83,H,P,O,11334
508617,90,L,P,C,11335
508638,50,R,P,P,11336
508664,46,L,G,O,11337
508678,51,L,O,O,11338
508695,80,L,P,O,11339
508732,51,R,P,O,11340
508706,3,L,P,O,11341
508709,21,R,P,O,11342
508710,77,R,G,O,11343
508710,24,R,P,O,11344
508711,90,R,G,O,11345
508731,87,R,P,O,11346
508758,8,R,P,O,11347
508775,53,R,P,O,11348
508780,73,R,P,P,11349
508793,80,R,P,O,11350
508798,88,H,P,C,11351
508812,56,R,P,P,11352
508845,34,R,O,D,11353
508855,60,H,G,O,11354
508886,50,L,P,O,11355
508870,32,R,O,C,11356
508874,58,R,O,O,11357
508908,16,R,G,O,11358
522030,14,R,O,I,11359
508908,85,R,P,O,11360
508923,29,L,P,P,11361
508941,90,R,G,O,11362
508971,70,R,G,O,11363
508987,7,L,P,O,11364
509004,10,R,G,C,11365
509006,90,R,P,P,11366
509025,30,R,G,O,11367
509027,48,H,G,C,11368
509086,44,L,P,C,11369
